Tiempo,target_lineal_x,target_lineal_y,target_w,odom_lineal_x,odom_lineal_y,odom_w,enc_lineal_x,enc_lineal_y,enc_w
1603674485.859257,0.200000,0.000000,0.000000,0.317394,0.008458,0.053283,0.236025,0.000000,0.035063
1603674485.959215,0.200000,0.000000,0.000000,0.319861,0.005610,0.035072,0.186281,0.000000,0.040903
1603674486.059286,0.200000,0.000000,0.000000,0.286368,-0.001203,-0.008400,0.147129,0.000000,-0.000000
1603674486.159256,0.200000,0.000000,0.000000,0.286368,-0.001203,-0.008400,0.123873,0.000000,-0.042142
1603674486.259265,0.200000,0.000000,0.000000,0.194540,-0.000415,-0.004263,0.125150,0.000000,-0.010018
1603674486.359255,0.200000,0.000000,0.000000,0.194540,-0.000415,-0.004263,0.141330,0.000000,-0.005009
1603674486.459253,0.200000,0.000000,0.000000,0.155407,0.000181,0.002333,0.156319,0.000000,0.008766
1603674486.559262,0.200000,0.000000,0.000000,0.155407,0.000181,0.002333,0.169405,0.000000,0.012523
1603674486.659213,0.200000,0.000000,0.000000,0.155407,0.000181,0.002333,0.178922,0.000000,-0.002505
1603674486.759261,0.200000,0.000000,0.000000,0.165545,-0.001976,-0.023876,0.186536,0.000000,-0.012523
1603674486.859256,0.200000,0.000000,0.000000,0.165545,-0.001976,-0.023876,0.193674,0.000000,-0.022541
1603674486.959231,0.200000,0.000000,0.000000,0.199154,0.000009,0.000091,0.205094,0.000000,-0.010018
1603674487.059208,0.200000,0.000000,0.000000,0.152916,-0.001490,-0.019487,0.212893,0.000000,0.004958
1603674487.159403,0.200000,0.000000,0.000000,0.152916,-0.001490,-0.019487,0.230550,0.000000,0.018979
1603674487.259289,0.200000,0.000000,0.000000,0.217405,-0.002253,-0.020726,0.234597,0.000000,-0.002505
1603674487.359270,0.200000,0.000000,0.000000,0.176068,0.001190,0.013518,0.214344,0.000000,0.027064
1603674487.459263,0.200000,0.000000,0.000000,0.216408,0.000801,0.007403,0.192960,0.000000,0.066370
1603674487.559347,0.200000,0.000000,0.000000,0.216408,0.000801,0.007403,0.177019,0.000000,0.030054
1603674487.659273,0.200000,0.000000,0.000000,0.248406,0.003508,0.028242,0.163933,0.000000,0.021288
1603674487.759230,0.200000,0.000000,0.000000,0.199315,-0.004044,-0.040575,0.155367,0.000000,0.011270
1603674487.859229,0.200000,0.000000,0.000000,0.199315,-0.004044,-0.040575,0.165360,0.000000,-0.006261
1603674487.959248,0.200000,0.000000,0.000000,0.158782,0.000566,0.007125,0.179874,0.000000,0.010018
1603674488.059199,0.200000,0.000000,0.000000,0.158782,0.000566,0.007125,0.190991,0.000000,0.013634
1603674488.159249,0.200000,0.000000,0.000000,0.176889,0.000243,0.002744,0.202423,0.000000,0.020245
1603674488.259222,0.200000,0.000000,0.000000,0.164909,0.002935,0.035588,0.204856,0.000000,0.001252
1603674488.359213,0.000000,0.000000,0.000000,0.206276,-0.002650,-0.025697,0.203708,0.000000,-0.001240
1603674488.459342,0.000000,0.000000,0.000000,0.162354,-0.000016,-0.000194,0.203625,0.000000,-0.012740
1603674488.559226,0.000000,0.000000,0.000000,0.162354,-0.000016,-0.000194,0.177661,0.000000,-0.137918
1603674488.659210,0.000000,0.000000,0.000000,0.246070,0.003276,0.026624,0.148705,0.000000,-0.149018
1603674488.759353,0.000000,0.000000,0.000000,0.246070,0.003276,0.026624,0.099216,0.000000,0.076388
1603674488.859250,0.000000,0.000000,0.000000,0.246070,0.003276,0.026624,0.048062,0.000000,0.165298
1603674488.959215,0.000000,0.000000,0.000000,0.173462,-0.006175,-0.071166,0.004327,0.000000,0.020245
1603674489.059221,0.000000,0.000000,0.000000,0.277003,-0.010982,-0.079251,-0.000481,0.000000,-0.002531
1603674489.159223,0.000000,0.000000,0.000000,-0.143228,-0.006395,0.089237,0.000000,0.000000,0.000000
1603674489.259254,0.000000,0.000000,0.000000,-0.143228,-0.006395,0.089237,0.000000,0.000000,0.000000
1603674489.359229,0.000000,0.000000,0.000000,0.055047,-0.000693,-0.025186,0.000000,0.000000,0.000000
1603674489.459205,0.000000,0.000000,0.000000,0.055047,-0.000693,-0.025186,0.000000,0.000000,0.000000
1603674489.559209,0.000000,0.000000,0.000000,-0.002300,0.000004,-0.003527,0.000000,0.000000,0.000000
1603674489.659215,0.000000,0.000000,0.000000,-0.004792,-0.000008,0.003477,0.000000,0.000000,0.000000
1603674489.759209,0.000000,0.000000,0.000000,-0.004792,-0.000008,0.003477,0.000000,0.000000,0.000000
1603674489.859217,0.000000,0.000000,0.000000,-0.004792,-0.000008,0.003477,0.000000,0.000000,0.000000
1603674489.959264,0.000000,0.000000,0.000000,0.021983,0.000000,0.000021,0.000000,0.000000,0.000000
1603674490.059227,0.000000,0.000000,0.000000,0.021983,0.000000,0.000021,0.000000,0.000000,0.000000
1603674490.159248,0.000000,0.000000,0.000000,0.015549,-0.000052,-0.006646,0.000000,0.000000,0.000000
